"Season","Adjusted.Temo","Adjusted.Offensive.Efficiency","Adjusted.Defensive.Efficiency","Avg.Possession.Length..Offense.","Avg.Possession.Length..Defense.","eFGPct","TOPct","ORPct","FTRate","OffFT","Off2PtFG","Off3PtFG","DefFT","Def2PtFG","Def3PtFG","Tempo","AdjTempo","OE","AdjOE","DE","AdjDE","AdjEM","Pre.Tournament.Tempo","Pre.Tournament.AdjTempo","Pre.Tournament.OE","Pre.Tournament.AdjOE","Pre.Tournament.DE","Pre.Tournament.AdjDE","Pre.Tournament.AdjEM","FG2Pct","FG3Pct","FTPct","BlockPct","OppFG2Pct","OppFG3Pct","OppFTPct","OppBlockPct","FG3Rate","OppFG3Rate","ARate","OppARate","StlRate","OppStlRate","AvgHeight","CenterHeight","PFHeight","SFHeight","SGHeight","PGHeight","EffectiveHeight","Experience","Bench","CenterPts","PFPts","SFPts","SGPts","PGPts","CenterOR","PFOR","SFOR","SGOR","PGOR","CenterDR","PFDR","SFDR","SGDR","PGDR","Net.Rating","Seed","Post.Season.Tournament.Sorting.Index","Final.Four."
2025,66,130.1,90.8,17.1,19,57.9292267365662,14.0137442491675,34.0163934426229,32.8527741371778,18.2994454713494,45.2865064695009,36.4140480591497,17.0343137254902,49.5098039215686,33.4558823529412,66.6013,66.0129,125.039,130.051,94.3906,90.7643,39.2864,66.5794,65.7242,124.282,127.954,93.0646,89.7995,38.1544,57.919621749409,38.6274509803922,78.9893617021277,10.8510638297872,42.9787234042553,31.1288483466363,72.9020979020979,9.37746256895193,44.5609436435125,38.3471797114123,58.5473870682019,50.3981797497156,0.100868159156095,0.0796935455927929,79.78,2.76,1.45,1.45,2.68,4.53,2.11,1.95545,30.26,16.01,27.68,21.85,15.79,18.63,48.53,18,11.38,13.46,8.55,25.29,27.11,14.45,19.58,13.52,39.3,"1",1,"No"
2015,62.4,121.3,84.4,17.7,19.6,51.5116,16.2529,39.5012,43.8605,23.6207,55.3793,21,20.916,54.2965,24.7875,63.7517,62.4233,115.452,121.305,84.6617,84.3933,36.9118,63.8582,61.9696,115.91,121.27,83.6596,83.8367,37.4333,51.2117,34.8797,72.6405,18.1633,39.1156,27.0898,66.0209,5.9949,27.0698,30.5293,54.9702,40.1333,0.1008,0.0725,79.28,3,3.89,2.88,3.3,0,6.89,0.73,39.9,19.66,23.57,18.78,22.66,15.33,33.72,34.47,20.03,5.69,6.08,27.92,30.08,18.01,13,10.99,36.9,"1",1,"Yes"
2025,61.9,123.4,86.8,19.7,18.6,51.7197986577181,14.1978230004733,36.8610511159107,27.2231543624161,16.2932790224033,50.5091649694501,33.1975560081466,21.5260017050298,44.075021312873,34.3989769820972,62.4074,61.8657,116.356,123.383,92.4809,86.7936,36.589,62.4183,61.4245,116.89,123.226,91.9137,87.7815,35.4443,47.8149100257069,39.3719806763285,73.959938366718,15.8347676419966,44.4922547332186,30.1569506726457,71.8349928876245,6.94087403598972,34.7315436241611,43.427458617332,45.1401869158879,58.1424936386768,0.122259031392964,0.0780880265026029,76.81,-1.39,0.2,-0.78,-0.24,0.22,-0.59,2.66562,29.24,15.53,18.38,18.94,21.18,25.94,45.35,26.88,8.29,14.18,5.25,27.07,20.83,17.46,22.56,12.04,36.6,"1",1,"No"
2021,73.8,126.4,89.9,14.4,18,61.0178117048346,16.1279343153221,30.0706357214934,35.7251908396947,17.6228100309172,57.6434215046376,24.7337684644452,15.9192825112108,54.8878923766816,29.1928251121076,74.3411,73.7515,121.917,126.433,93.4015,89.9493,36.4833,75.2784,74.7701,122.395,126.111,91.6576,89.4872,36.6241,63.8994668697639,36.8098159509202,73.0769230769231,6.9071373752878,46.968534151957,32.7300150829563,70.2970297029703,6.77837014470678,33.1806615776081,33.7232960325534,55.6070435588508,45.4764776839566,0.106402475742644,0.0816869400386442,78.11,0.83,0.47,0.69,1.77,2.21,0.65,1.54,24.27,25.77,21.49,16.72,17.33,18.63,39.47,19.89,6.54,22.61,11.41,23.99,18.56,13.28,24.63,19.49,36.5,"1",1,"Yes"
2024,64.6,127.5,91.1,18.6,17.5,56.9074778200253,14.4996805716584,36.697965571205,31.9391634980989,17.2604422604423,51.4127764127764,31.3267813267813,20.2681388012618,52.0504731861199,27.6813880126183,66.0359,64.6331,123.036,127.524,96.3938,91.0982,36.4262,66.2316,64.4531,122.708,126.609,97.6459,94.3959,32.2129,59.1101694915254,35.751840168244,74.3386243386243,14.1922825376063,43.1654676258993,31.241655540721,72.4964739069111,8.33333333333333,40.1774397972117,32.8797190517998,63.5514018691589,44.7427293064877,0.0931311075881977,0.0810164919669687,78.42,2.47,0.59,0.39,1.16,1.83,1.53,2.43106,28.14,22.54,18.97,20.91,21.4,16.13,33.13,18.66,20.29,13.83,14.05,25.88,17.21,20.98,20.55,15.33,36.4,"1",1,"Yes"
2025,70.1,128.2,91.8,16.3,17.7,54.8605577689243,15.7230059625251,38.5263157894737,34.8605577689243,18.7850191683869,46.711884399882,34.5030964317311,20.2945402298851,50.933908045977,28.7715517241379,70.5972,70.0771,119.988,128.247,98.5599,91.7896,36.4571,70.8342,69.5882,120.446,128.6,97.6802,92.4375,36.1627,56.0509554140127,35.5515041020966,72.8,11.6840731070496,46.2793733681462,29.3729372937294,71.1586901763224,8.70488322717622,43.7051792828685,37.2388365424007,52.3688663282572,45.1844262295082,0.104820039750167,0.0924257782932217,77.96,1.6,1.95,-0.59,-0.02,0.82,1.77,2.44066,29.02,17.01,17.9,19.08,24.41,21.56,39.7,35.12,8.66,6.02,10.4,30.26,25.55,13.74,15.64,14.75,36.4,"1",1,"No"
2025,68.2,127.2,92.1,17.4,17.5,54.9274744027304,13.6154396810422,34.1704718417047,33.9163822525597,18.3317475420235,49.0326673009832,32.6355851569933,23.4647460197119,50.2653525398029,26.2699014404852,69.1467,68.205,119.401,127.161,100.191,92.1104,35.0506,68.8568,67.5825,121.014,128.426,100.799,93.379,35.0475,55.6916426512968,35.8786610878661,72.7044025157233,15.7968970380818,46.7559943582511,29.8449612403101,72.9952830188679,7.70893371757925,40.7849829351536,35.3102189781022,54.9283154121864,40.3803131991051,0.0989869013022846,0.0879883567131418,78.51,1.13,0.67,1.51,2.11,1.13,0.9,2.80655,31.83,20.19,20.76,18.33,18.91,21.81,46.49,32.46,11.56,4.88,4.61,29.67,25.77,15.77,16.6,12.19,35.1,"1",1,"No"
2019,59.4,123.4,89.2,21,18.8,55.1799610894942,14.706672830282,30.3664921465969,29.0856031128405,16.3964627855564,48.1208548268239,35.4826823876197,16.3696060037523,49.155722326454,34.4746716697936,60.6202,59.4019,116.554,123.403,91.78,89.1871,34.2156,61.0806,59.2665,117.113,123.571,90.0009,87.9163,35.6552,52.5341914722446,39.4833948339483,74.4147157190636,12.9904097646033,45.6843940714908,28.8915094339623,66.6030534351145,8.2864038616251,39.5428015564202,42.5062656641604,55.8521560574949,43.4330299089727,0.0907341510874123,0.081273718272611,77.2,1.27,1.09,1.29,0.26,-1.99,1.18,1.6,22.86,17.93,19.68,24.58,23.69,14.13,37.86,30.03,14.67,8.82,8.61,23.45,26.61,18.51,17.84,13.59,34.2,"1",1,"Yes"
2021,67.4,125,91.1,17,17.6,56.5482502651113,16.5283317164313,37.2930866601753,26.5111346765642,14.2340168878166,49.6984318455971,36.0675512665862,18.1771894093686,53.5641547861507,28.2586558044807,69.2981,67.4416,119.106,124.994,94.4826,91.1275,33.867,70.2185,68.3891,119.43,123.265,94.472,93.7679,29.4969,53.184165232358,41.2983425414365,70.8,10.2873030583874,48.7488415199259,32.8596802841918,69.4552529182879,10.5851979345955,38.3881230116649,34.2874543239951,55.288985823337,51.7580872011252,0.127914915022816,0.0800067071491023,76.66,0.09,-1.21,-1.2,-0.09,1.14,-0.56,2.01,28.57,17.98,14.49,22.63,25.09,19.8,33.47,39.18,15,7.14,5.21,30.09,27.69,14.23,16.34,11.65,33.9,"1",1,"Yes"
2018,68.7,127.8,94,17.9,16.6,59.5081967213115,15.0455126758444,29.5698924731183,29.4262295081967,16.1420733468091,43.6615651169506,40.1963615362403,17.0644816530103,53.8653366583541,29.0701816886356,70.0051,68.7242,122.728,127.756,99.3109,94.0001,33.7563,70.2475,68.277,122.829,127.384,99.8803,95.9749,31.4091,58.9703588143526,40.0690846286701,77.8551532033426,10.49902786779,48.9954633830201,31.7016317016317,74.7269890795632,8.19032761310452,47.4590163934426,35.7351103706789,53.6885245901639,51.7509727626459,0.0916891243069108,0.0683243281514818,77.33,-1.05,0.19,1.34,0.66,1.51,-0.43,1.33,25.88,16.09,18.5,23.21,17.64,24.55,38.82,27.17,19.54,9.99,4.45,29.62,19.16,19.99,17.28,13.94,33.8,"1",1,"Yes"
